#   line (B)  time (µs)
        1024       929.8
        2048       871.2
        4096       843.5
        8192       839.7
       16384       841.0
       32768       853.3
       65536      1495.6
      131072      1626.6
      262144      1559.5
      524288      2432.8
     1048576      2407.2
     2097152      3015.7
     4194304      7948.9
     8388608     11848.1
    16777216     11436.3
    33554432     12792.3
    67108864     12511.2
